animal_id,last_weight,last_weight_date
2515,140,2019-07-24 04:58:29.604
2516,116,2018-11-05 14:31:20
2517,109,2019-05-22 10:55:00.873
2518,135.0,2023-02-07 14:45:36.194
2519,127,2020-02-14 11:24:55.039
2520,122,2019-11-10 08:06:37.204
2521,109,2018-09-01 14:53:16.481
2522,147,2016-12-03 09:45:32.015
2523,130,2018-01-25 19:40:03
2524,149,2018-01-21 10:48:11.811
2525,56,2021-09-11 07:59:23.369
2526,130,2019-11-10 11:26:36.704
2527,130,2020-08-28 11:30:11.466
2528,119,2019-05-22 09:53:32.536
2529,118,2023-02-07 13:17:15.041
2530,118,2019-05-22 12:37:39.652
2531,126.0,2019-11-10 09:41:23.577
2532,146,2019-11-10 11:08:01.608
2533,103.0,2018-11-05 14:21:38.242
2534,115,2018-11-05 15:18:56.667
2535,120,2016-05-05 12:00:01.989
2536,114,2018-11-05 14:40:38.052
2537,127,2021-08-27 10:19:41.776
2538,143,2019-11-10 09:08:28.998
2539,129,2018-11-05 14:28:20.404
2541,162.0,2018-10-17 07:28:41.965
2542,138,2016-12-03 09:58:37.919
2543,126.0,2019-11-10 08:09:47.937
2544,131.0,2019-11-10 09:11:30.571
2549,111,2019-07-20 06:32:54.464
2554,129.0,2019-11-10 10:05:11.215
2556,134.0,2018-09-01 13:49:53.873
2557,112.0,2016-02-12 09:12:12.036
2558,121.0,2017-03-06 16:18:08.393
2559,112.0,2016-02-12 09:14:31.36
2561,151.0,2022-02-26 12:24:03.515
2562,112.0,2017-03-06 16:09:43.834
2563,122.0,2017-03-06 16:23:11.12
2711,120,2018-11-05 15:03:51.569
2712,125.0,2022-02-27 15:03:32.781
2713,109,2018-08-06 11:01:01.662
2714,151,2016-08-30 07:10:37.784
2715,93,2018-05-27 10:53:34.669
2716,170.0,2018-11-05 15:13:38.178
2717,123,2019-07-20 08:29:16.63
2718,108,2017-03-06 16:23:58.187
2719,145.0,2019-11-10 10:16:22.424
2720,118,2017-03-06 16:25:55.698
2721,121.0,2021-11-19 14:29:30.773
2722,119.0,2018-11-05 15:02:37.901
2723,130,2016-05-05 12:01:19.612
2724,121,2022-11-30 11:42:10.529
2725,136.0,2019-11-10 10:51:41.064
2726,116,2016-07-07 11:30:31.644
2727,127.0,2017-03-06 16:31:00.237
2728,121,2022-02-27 15:03:08.316
2729,136,2020-12-04 11:20:12.771
2730,128,2019-11-10 11:35:02.182
2731,122.0,2016-05-05 12:03:02.59
2732,140.0,2016-07-07 08:53:14.234
2733,131.0,2019-11-10 09:04:08.227
2734,127.0,2019-11-10 10:25:28.025
2735,120,2016-01-04 11:23:03.796
2736,144,2018-09-01 12:35:31.551
2737,114,2023-02-07 14:44:47.508
2738,118,2020-07-07 08:44:01.275
2739,111,2020-08-28 09:05:41.136
2740,158,2015-03-02 12:00:53.969
2741,109,2017-03-06 16:27:38.362
2742,140.0,2018-11-05 15:20:19.318
2743,97.4,2019-11-10 09:23:43.436
2744,119,2019-05-24 11:56:18.974
2745,119,2019-05-24 10:57:00.862
2746,140,2019-11-10 11:12:32.014
2747,126,2019-11-10 09:45:58.74
2748,167,2016-01-28 12:06:03.86
2749,81,2018-08-31 13:37:48.544
2750,124.0,2017-03-06 16:25:44.004
2752,97.0,2016-02-12 09:21:42.222
2753,112,2016-02-12 09:19:23.423
2754,123,2015-12-04 16:45:42.066
2755,118,2016-02-12 09:15:03.739
2756,126,2016-01-08 12:51:07.161
2757,98.5,2016-02-12 09:11:47.289
2758,139,2015-12-04 16:42:59.68
2760,112,2016-02-12 09:22:20.302
2761,130.0,2017-03-06 16:24:54.355
2762,135,2015-12-04 16:41:49.459
2763,118.0,2017-03-06 16:06:22.435
2764,116.0,2016-01-08 12:46:56.205
2765,133.0,2018-10-17 07:14:19.337
2766,91.5,2017-03-06 16:14:21.662
2767,112.0,2016-01-08 12:50:24.391
2768,113,2019-11-10 11:04:12.187
2769,134.0,2020-12-14 15:01:32.051
2770,129.0,2018-11-05 15:11:38.795
2771,113,2016-01-08 12:54:07.182
2772,120,2016-01-08 12:55:57.561
2773,137,2015-12-04 16:46:16.132
2774,109,2016-02-12 09:15:54.178
2775,83,2015-05-14 12:00:10
2776,114.0,2016-02-12 09:15:20.694
2777,116.0,2016-02-12 09:15:37.96
2778,117,2018-09-01 11:44:05.119
2779,122.0,2023-02-07 12:14:40.424
2780,121.0,2017-03-06 16:02:39.706
2781,118.0,2021-08-28 11:23:55.448
2782,144.0,2017-01-30 11:22:35.242
2783,133,2015-12-04 16:44:54.991
2784,122.0,2017-03-06 16:04:39.015
5463,71.0,2019-07-24 05:15:52.782
2785,184.0,2020-02-14 11:19:27.637
2786,118,2017-03-06 16:12:46.692
2787,124,2015-12-04 16:43:34.343
2788,139.0,2022-09-11 11:30:18.96
2789,119,2016-01-08 12:55:15.921
2790,107.0,2017-03-06 16:20:19.226
2791,100.0,2023-02-07 14:38:56.351
2792,143,2016-01-08 12:49:58.288
2793,101.0,2016-02-12 09:13:34.29
2799,87.0,2016-03-19 09:25:02.175
2801,"",
2802,120,2017-03-06 16:28:23.718
2803,145.0,2019-11-10 08:03:41.059
2805,133.0,2017-07-12 08:29:25.197
2806,108,2020-12-14 15:16:16.759
2807,79,2016-05-05 12:01:42.787
2808,80.5,2016-04-02 13:50:09.076
2809,81.0,2016-03-19 09:23:18.505
2810,75.0,2016-04-02 13:26:44.84
2811,61.0,2016-07-07 10:39:39.064
2812,66.0,2016-04-02 13:27:03.341
2813,77.0,2016-05-05 12:01:50.633
2814,76.5,2016-04-02 13:37:47.475
2815,0.0,
2816,85.0,2021-11-19 11:19:34.552
2817,123.0,2023-02-07 13:13:05.015
2818,149.0,2020-12-14 13:56:35.234
2819,128.0,2021-08-27 12:58:14.671
2820,66.0,2016-05-05 11:55:52.495
2821,119.0,2018-01-21 10:52:57.106
2822,96.5,2021-11-19 14:14:36.962
2823,82.5,2016-03-19 09:23:58.16
2824,81.0,2016-04-02 13:25:48.004
2825,75.0,2016-05-05 11:56:57.314
2826,119.0,2017-05-29 10:31:09.853
2827,69.5,2016-04-02 13:27:48.95
2828,81.0,2016-04-02 13:26:00.758
2829,72.0,2016-04-02 13:28:51.15
2830,70.5,2016-05-05 10:28:51.678
2831,56.5,2015-07-15 17:51:59.297
2832,91.0,2016-03-19 09:18:30.343
2833,86.5,2016-03-19 09:22:12.188
2834,90.0,2016-03-19 09:19:14.947
2835,173.0,2021-09-11 09:23:56.15
2838,104.0,2017-05-29 10:30:37.338
2839,69.0,2016-04-02 13:30:27.375
2840,33.5,2015-08-20 09:01:37.628
2841,128.0,2019-11-10 08:00:43.595
2842,83.0,2016-03-19 09:20:14.263
2843,70.5,2016-04-02 13:33:46.193
2844,111.0,2017-01-31 12:01:55.3
2845,151.0,2022-09-11 09:57:12.84
2846,76.0,2016-04-02 13:32:01.674
2847,95.0,2020-08-28 09:01:21.23
2848,61.0,2016-05-05 11:54:41.303
2849,91.0,2023-01-11 15:54:07.198
2850,115,2022-08-21 07:15:39.618
2851,128.0,2017-03-06 16:26:33.899
2852,118.0,2023-02-05 15:05:27.232
2853,67.0,2016-04-02 13:32:36.869
2854,111.0,2017-01-31 12:25:13.144
2855,166,2018-10-09 10:50:49.814
2856,65.5,2016-05-05 11:49:01.949
2857,117,2018-01-15 12:02:35.267
2858,82.5,2016-03-19 09:17:52.498
2859,136.0,2021-08-27 10:57:32.215
2863,110.0,2017-01-31 12:26:05.338
2864,82.5,2016-03-19 09:15:20.578
2865,107.0,2020-12-04 12:10:10.591
2868,73.5,2016-05-05 11:51:33.572
2869,104.0,2017-05-29 10:30:30.029
2870,"",
2871,158.0,2020-08-28 09:39:04.521
2872,181.0,2018-02-05 10:12:47.452
2873,105.0,2017-05-29 10:29:01.257
2874,133.0,2017-03-06 16:18:53.078
2875,80.0,2016-04-02 13:46:30.505
2876,78.0,2016-04-02 13:32:53.492
2877,118.0,2019-05-22 11:40:04.005
2878,86.5,2016-03-19 09:21:36.111
2879,101.0,2017-05-29 10:30:12.125
2880,92.5,2016-08-15 08:45:15.533
2881,105.0,2017-01-31 11:58:33.181
2882,114.0,2021-08-27 12:44:40.333
2883,154.0,2020-12-14 13:50:56.946
2884,137.0,2017-03-06 16:06:00.456
2885,184.0,2019-07-24 05:01:53.882
2886,110.0,2017-01-31 12:00:23.305
2887,137.0,2017-03-06 16:28:49.97
2888,62.0,2016-04-02 13:31:38.276
2889,110.0,2017-05-29 10:35:20.284
2890,68.0,2016-08-11 07:19:55.013
2891,129.0,2023-02-07 13:37:35.784
2892,140.0,2020-12-14 14:12:46.946
2893,99.5,2021-08-28 14:57:14.489
2894,56.0,2016-02-03 11:57:21.72
2895,85.0,2016-03-19 09:16:11.784
2896,119.0,2024-01-04 09:08:29.637
2897,131.0,2019-11-10 08:05:47.171
2898,106.0,2017-01-31 11:59:52.112
2899,77.0,2016-04-02 13:50:30.781
2900,104.0,2017-05-29 10:29:57.741
2901,101.0,2017-05-29 10:30:59.745
2902,152.0,2018-11-05 14:51:24.852
2903,67.5,2016-04-02 13:38:03.544
2904,97.0,2016-03-19 09:18:42.533
2905,91.0,2016-03-19 09:22:00.493
2906,157.0,2021-08-28 08:32:49.904
2907,72.5,2016-04-02 13:36:34.889
2909,116.0,2022-02-27 14:44:45.503
2910,74.0,2016-05-05 12:01:59.491
2911,108.0,2021-08-28 09:12:37.446
2912,62.0,2016-05-05 11:59:23.899
2913,118.0,2018-11-05 15:35:43.024
2914,96.5,2021-08-26 09:26:05.958
2915,130.0,2018-10-17 07:02:58.591
2916,131.0,2020-08-28 14:00:28.476
2917,91.5,2016-03-19 09:23:31.62
2918,105.0,2017-05-29 10:31:35.976
2919,121.0,2023-01-11 16:06:36.125
2920,151.0,2022-09-11 09:25:33.489
2921,137.0,2024-01-02 11:49:39.4
2922,78.5,2016-05-05 11:57:15.754
2923,63.5,2016-04-02 13:39:30.156
2924,127.0,2023-02-07 11:30:16.744
2925,109.0,2017-05-29 10:32:34.038
2926,77.0,2016-04-02 13:35:22.636
2927,102.0,2016-03-19 09:23:08.37
2928,117.0,2017-01-31 11:53:56.517
2929,93.0,2016-08-15 09:15:04.079
2930,65.5,2016-04-02 13:29:48.498
2931,72.0,2016-05-05 11:55:29.903
2932,79.5,2016-05-05 11:59:44.757
2933,131.0,2019-11-10 09:00:09.192
2934,123.0,2018-11-05 14:23:57.314
2935,180.0,2020-02-14 11:17:37.322
2936,89,2016-03-19 09:23:44.372
2937,111.0,2022-09-11 09:31:51.91
2938,80.0,2016-04-02 13:48:20.493
2939,84.5,2016-03-19 09:21:46.452
2940,150.0,2017-03-06 16:12:13.687
2941,83.0,2016-05-05 11:58:50.513
2942,93.0,2016-03-19 09:17:38.761
2943,139.0,2023-02-07 12:54:49.583
2944,130.0,2018-11-05 15:12:00.612
2945,106.0,2017-05-29 10:31:43.4
2946,83.5,2016-03-19 09:16:53.156
2947,91.0,2016-04-02 13:47:53.652
2948,80.5,2016-04-02 13:44:35.099
2949,112.0,2021-08-28 13:00:23.108
2950,142.0,2020-08-28 09:53:57.798
2951,133,2018-01-24 09:44:42.924
2952,117.0,2024-01-03 11:33:00.094
2953,105.0,2017-01-31 12:26:27.34
2954,77.5,2016-05-05 12:01:00.122
2955,115.0,2017-05-10 09:43:47.052
2956,134.0,2018-10-17 07:04:14.948
2957,136,2021-08-27 10:26:33.105
2958,119.0,2023-08-09 11:54:49.854
2959,124.0,2023-08-09 11:03:24.945
2960,112.0,2024-01-04 09:25:48.686
