animal_id,tag,rfid,dob,sex,breed_date,dam,dam_date
1909,9021,964001017737988,2010-02-23 00:00:00,Female,2018-09-01 11:21:04.294,"",
1910,12044,964001009986762,2012-01-22 00:00:00,Female,2018-08-12 08:49:55.567,BRCM02,2024-01-12 08:53:55.899
1912,12028,964001009986669,2011-06-30 00:00:00,Female,,"",
1915,9009,964001009986637,2005-12-24 00:00:00,Female,,ORST02,2024-01-13 07:37:51.292
1917,11017,964001009986887,2007-06-29 00:00:00,Female,,"",
1919,9006,964001009986696,2008-03-16 00:00:00,Female,,ORST02,2024-01-12 10:42:09.128
1922,9005DIED,964001009986745,2009-02-08 00:00:00,Female,,9005,2024-01-12 10:40:14.174
1923,9013,964001009986709,2010-02-02 00:00:00,Female,,"",
1924,9016,964001009986729,2010-05-28 00:00:00,Female,,"",
1925,11035,964001009986710,2009-12-06 00:00:00,Female,,"",
1926,11046,964001009986722,2010-12-09 00:00:00,Female,2018-08-31 11:12:44.841,"",
1929,11050,964001009986646,2011-02-16 00:00:00,Female,2018-08-12 08:49:54.901,WAST03,2024-01-13 07:44:22.678
1930,12080,964001009986702,2011-03-14 00:00:00,Female,,ORST02,2024-01-12 12:02:37.121
1931,12034,964001009986795,2012-01-21 00:00:00,Female,,WASTO2,2024-01-13 07:55:56.14
1933,12047,964001009986667,2011-12-20 00:00:00,Female,2018-08-12 08:52:36.742,9023,
1934,12116,964001009986643,2011-12-26 00:00:00,Female,,9009,
1939,12101,964001009986743,2012-01-26 00:00:00,Female,,9025,
1940,12019,964001009986671,2012-01-26 00:00:00,Female,,11017,
1941,12032,964001009986650,2012-01-26 00:00:00,Female,2018-08-12 08:49:55.252,11017,
1942,12041,964001009986752,2012-01-26 00:00:00,Female,2018-08-03 21:07:45.407,11017,
1943,9028,964001009986649,2012-02-01 00:00:00,Female,2024-01-13 07:46:35.118,BRCM02,2024-01-13 07:46:35.118
1944,12033,964001009986739,2012-02-07 00:00:00,Female,2018-08-12 08:49:55.294,"",
1945,12092,964001009986661,2012-05-30 00:00:00,Female,,WAST02,2024-01-12 11:57:53.529
1946,9023,964001009986673,2009-01-27 00:00:00,Female,,"",
1948,13048,964001009986711,2012-01-09 00:00:00,Female,2018-08-12 08:49:57.863,12002,2024-01-12 11:36:15.338
1950,12022,964001009986725,2012-01-14 00:00:00,Female,2018-08-12 08:49:55.125,"",
1951,9024,964001009986666,2008-01-10 00:00:00,Female,,"",
1955,12073,964001009986625,2011-12-09 00:00:00,Female,2018-08-12 08:49:56.072,WAST02,2024-01-13 07:34:01.178
1956,12039,964001009986700,2012-02-01 00:00:00,Female,2018-08-12 08:49:55.389,WAST03,2024-01-12 07:26:40.386
1957,12010,964001009986618,2012-03-26 00:00:00,Female,2024-01-13 07:32:18.355,WAST03,2024-01-13 07:32:18.355
1958,11023,964001009986681,2011-12-23 00:00:00,Female,2018-08-12 08:49:54.432,"",
1959,10001,964001009986730,2011-06-25 00:00:00,Female,,"",
1961,12045,964001009986945,2012-01-06 00:00:00,Female,2024-01-12 09:01:46.833,WAST02,2024-01-12 09:01:46.702
1963,12006,964001009986695,2012-01-06 00:00:00,Female,2018-08-03 21:07:45.544,"",
1964,12025,964001009986724,2011-09-14 00:00:00,Female,2018-08-12 08:49:55.169,"",
1967,12016,964001009986670,2011-12-10 00:00:00,Female,2018-08-12 08:49:55.034,"",
1971,12001,964001015704199,2011-04-28 00:00:00,Female,2018-08-12 08:49:54.948,"",
1974,12049,964001009986645,2012-01-28 00:00:00,Female,,ORST02,2024-01-13 07:43:41.216
1975,12026,964001009986647,2012-01-28 00:00:00,Female,2024-01-13 07:45:22.126,BRCM02,2024-01-13 07:45:22.11
1976,10025,964001009986631,2012-02-23 00:00:00,Female,2018-08-12 14:02:57.666,WAST03,2024-01-13 07:35:35.52
1978,12023,964001009986765,2011-06-21 00:00:00,Female,,"",
1979,10010,964001009986620,2010-05-01 00:00:00,Female,2018-08-03 21:07:45.949,ORST02,2024-01-13 07:32:40.788
1980,10015,964001009986694,2009-03-05 00:00:00,Female,,"",
1982,9020,964001009986674,2009-03-03 00:00:00,Female,2018-08-03 21:07:46.038,"",
1983,13049,964001023946515,2013-03-25 00:00:00,Female,2018-08-12 08:49:57.91,9020,
1984,9004SOLD,964001009986747,2011-03-05 00:00:00,Female,2018-08-12 11:22:46.399,9004,2024-01-12 10:39:43.983
1985,11010,964001009986755,2011-03-05 00:00:00,Female,2018-08-07 12:55:49.782,"",
1986,10021,964001009986636,2010-01-03 00:00:00,Female,2019-02-20 12:15:58.346,ORST02,2024-01-13 07:37:37.892
1987,12017,964001009986746,2011-02-27 00:00:00,Female,,9015,
1988,9022,964001009986638,2010-02-12 00:00:00,Female,2018-08-12 08:49:54.05,WAST02,2024-01-13 07:38:28.402
1989,11036,964001009986642,2011-03-02 00:00:00,Female,2018-08-12 08:49:54.599,BRCM02,2024-01-13 07:43:01.774
1990,11047,964001009986639,2011-02-22 00:00:00,Female,,ORST02,2024-01-13 07:38:54.85
1991,12037,964001009986651,2011-03-07 00:00:00,Female,2018-08-12 19:52:50.622,BRCM02,2024-01-12 07:20:03.461
1992,12046,964001009986952,2012-01-07 00:00:00,Female,,BRCM02,2024-01-12 08:58:33.343
1994,11040,964001009986757,2012-01-02 00:00:00,Female,2018-08-12 08:49:54.817,"",
1995,10008,964001009986737,2011-03-04 00:00:00,Female,2018-08-12 08:52:36.699,"",
1996,10024,964001009986641,2010-03-15 00:00:00,Female,,BRCM02,2024-01-13 07:42:28.38
1997,12027,964001009986784,2012-02-26 00:00:00,Female,2018-08-12 08:49:53.178,"",
1998,11006,964001009986653,2011-02-03 00:00:00,Female,2018-08-12 11:18:06.878,"",
1999,12021,964001009986626,2012-01-04 00:00:00,Female,,WAST03,2024-01-13 07:34:37.359
2000,12048,964001009986758,2011-12-03 00:00:00,Female,2018-08-12 08:49:55.61,WAST03,2024-01-13 07:55:35.546
2001,12018,964001009986716,2011-12-03 00:00:00,Female,2018-08-12 08:49:55.077,"",
2002,10018,964001009986634,2012-02-23 00:00:00,Female,2018-08-12 08:49:54.344,WAST03,2024-01-13 07:37:03.775
2004,10014,964001009986937,2008-04-13 00:00:00,Female,,"",
2005,12031,964001009986706,2012-01-16 00:00:00,Female,,"",
2007,13077,964001009986948,2013-04-04 00:00:00,Female,,12037,
2009,13082,964001027783498,2013-03-30 00:00:00,Female,2018-08-12 08:49:58.602,12035,
2011,13055,964001009986621,2013-03-15 00:00:00,Female,2018-08-12 08:49:58.133,13035,2015-02-23 02:38:21
2012,13056,964001015704532,2013-03-15 00:00:00,Female,2018-08-12 08:49:58.176,12009,
2016,13021,964001009986935,2013-03-17 00:00:00,Female,2018-08-12 08:49:57.421,10006,
2017,13022,964001009986936,2013-03-17 00:00:00,Female,2018-08-12 08:49:57.47,10006,
2022,13002,964001009986917,2013-03-06 00:00:00,Female,,11006,
2024,13079,964001009986858,2013-04-04 00:00:00,Female,2018-08-12 08:49:58.472,12048,
2026,13026,964001009986879,2013-03-19 00:00:00,Female,2018-08-12 08:49:57.512,12018,
2033,13076,964001009986951,2013-04-05 00:00:00,Female,2018-08-12 08:52:36.869,10007,
2042,13054,964001009986760,2013-03-15 00:00:00,Female,2018-08-12 08:49:58.087,9007,
2047,13008,964001009986954,2013-03-10 00:00:00,Female,2018-08-12 08:49:57.166,11019,
2053,13047,964001009986678,2013-03-18 00:00:00,Female,2018-08-07 12:30:26.061,10005,
2054,12005,964001009986892,2013-03-16 00:00:00,Female,,"",2016-06-15 14:33:41.474
2056,13040,964001009986893,2013-03-16 00:00:00,Female,,11044,
2064,13072,964001009986888,2013-04-02 00:00:00,Female,2018-08-12 08:49:58.389,9021,
2066,13078,964001009986914,2013-04-04 00:00:00,Female,,12044,
2067,13060,964001009986689,2013-03-23 00:00:00,Female,,12040,
2068,13052,964001009986774,2013-03-08 00:00:00,Female,2018-08-12 08:49:58.041,11045,
2071,13086,964001009986946,2013-03-16 00:00:00,Female,2018-08-12 08:49:58.783,9008,
2073,11042,964001009986734,2010-12-11 00:00:00,Female,,"",
2074,13070,964001009986881,2013-03-29 00:00:00,Female,2018-08-12 14:07:06.459,12030,
2075,13069,964001009986714,2013-03-29 00:00:00,Female,2018-08-12 08:49:58.3,12030,
2078,13025,964001015704391,2013-03-16 00:00:00,Female,,9002,
2082,13071,964001009986927,2013-03-31 00:00:00,Female,2018-08-12 08:49:58.346,109003,
2092,13046,964001009986691,2013-04-17 00:00:00,Female,2018-08-12 08:49:57.82,9006,
2093,13010,964001009986882,2013-03-12 00:00:00,Female,2018-08-12 08:49:57.207,11021,
2094,13083,964001009986923,2013-04-07 00:00:00,Female,2018-08-12 08:49:58.647,9019,2015-06-03 09:28:44.641
2096,13084,964001009986708,2013-04-07 00:00:00,Female,2018-08-12 08:49:58.688,9019,2016-06-20 12:20:22.512
2098,13029,964001009986877,2013-03-14 00:00:00,Female,2018-08-12 08:49:57.598,9005,
2100,13087,964001009986771,2013-04-21 00:00:00,Female,2018-08-12 08:49:58.825,12012,2015-05-01 08:26:37
2101,13088,964001009986707,2013-04-21 00:00:00,Female,,9013,
2104,13034,964001009986922,2013-03-14 00:00:00,Female,2018-08-03 21:07:45.009,9016,
2105,13011,964001009986703,2013-03-14 00:00:00,Female,,11035,2016-01-04 13:29:14.467
2106,13012,964001009986944,2013-03-14 00:00:00,Female,2018-08-12 12:20:41.795,11035,2016-04-27 09:22:50.377
2113,13038,964001009986777,2013-03-15 00:00:00,Female,,11050,
2128,13058,964001009986713,2013-03-26 00:00:00,Female,2018-08-03 21:41:10.309,9023,
2149,13017,964001009986920,2013-03-11 00:00:00,Female,2018-08-12 08:49:57.336,11049,
2159,13050,964001009986885,2013-03-14 00:00:00,Female,2018-08-12 08:49:57.951,12006,
2161,13018,964001009986916,2013-03-12 00:00:00,Female,2018-08-12 09:49:57,11032,2020-02-24 15:26:26
2172,13005,964001009986926,2013-03-09 00:00:00,Female,2018-08-12 08:49:57.119,12001,
2175,13067,964001009986778,2013-03-30 00:00:00,Female,2018-08-12 08:49:58.258,12042,
2179,13045,964001009986884,2013-03-15 00:00:00,Female,2018-08-12 08:49:57.779,12012,
2187,13023,964001009986924,2013-03-15 00:00:00,Female,2018-08-03 21:41:10.225,10010,
2188,13024,964001009986933,2013-03-15 00:00:00,Female,2018-08-03 21:41:10.266,10010,
2189,13030,964001009986772,2013-03-16 00:00:00,Female,2018-08-03 21:07:45.053,10015,
2198,13028,964001009986928,2013-03-13 00:00:00,Female,2018-08-12 08:49:57.556,9004,
2199,13015,964001009986857,2013-03-08 00:00:00,Female,2018-08-12 08:49:57.296,11010,
2201,13080,964001009986683,2013-03-19 00:00:00,Female,2018-08-12 08:49:58.514,12017,
2204,13044,964001009986930,2013-03-17 00:00:00,Female,2018-09-28 11:59:21.526,12013,
2205,13016,964001009986773,2013-03-15 00:00:00,Female,2018-08-12 12:22:28.657,11047,
2214,13089,964001009986692,2013-03-12 00:00:00,Female,,12031,
2215,OR0465,964001009987322,2015-05-04 00:00:00,Wether,,10001,2015-04-01 04:54:50
2216,14102,964001009987095,2014-04-03 00:00:00,Female,,10001,
2217,OR0331,964001009987048,2014-04-03 00:00:00,Wether,,10001,
2218,OR0274,964001009986975,2014-05-06 00:00:00,Wether,,10002,
2219,OR0251,964001009986796,2014-05-06 00:00:00,Wether,,10002,
2221,OR0340,964001009987064,2014-04-07 00:00:00,Wether,,10003,
2222,15158,964001009987267,2015-03-23 00:00:00,Female,,10003,2015-03-24 05:27:49
2223,14120,964001009987026,2014-03-27 00:00:00,Female,2015-09-17 21:19:48.862,10005,
2224,14014,964001009986815,2014-03-27 00:00:00,Female,2018-08-03 21:07:44.875,10005,
2226,OR0353,964001009987011,2014-03-28 00:00:00,Wether,,11023,
2227,OR0271,964001009986897,2014-04-18 00:00:00,Wether,,10007,
2229,OR0310,964001009987090,2014-04-06 00:00:00,Wether,,10008,
2230,OR0336,964001009987097,2014-04-06 00:00:00,Wether,,10008,
2232,OR0264,964001009986904,2014-04-28 00:00:00,Wether,,10009,
2233,OR0318,964001009987073,2014-04-28 00:00:00,Wether,,10009,
2234,16285,964001009986828,2014-05-03 00:00:00,Female,2015-09-17 21:00:43.815,10010,
2235,14071,964001009986865,2014-04-03 00:00:00,Female,2018-08-03 21:07:44.415,10011,
2236,OR0357,964001009987028,2014-04-03 00:00:00,Wether,,10011,
2237,OR0313,964001009987068,2014-04-14 00:00:00,Wether,,10016,
2238,OR0250,964001009986790,2014-04-14 00:00:00,Wether,,10016,
2239,OR0343,964001009987057,2014-04-14 00:00:00,Wether,,10016,
2241,OR0282,964001009986966,2014-03-28 00:00:00,Wether,,10017,
2242,14087,964001009987079,2014-03-28 00:00:00,Female,2015-09-17 21:02:03.278,10019,
2243,OR0249,964001009986791,2014-03-28 00:00:00,Wether,,10019,
2244,OR0272,964001009986896,2014-03-28 00:00:00,Wether,,10019,
2246,14107,964001009987003,2014-03-28 00:00:00,Female,2015-09-17 20:59:59.305,10021,
2247,14126,964001009987014,2014-03-28 00:00:00,Female,2018-08-12 08:49:59.882,11001,
2251,OR0349,964001009987062,2014-04-20 00:00:00,Wether,,11002,
2254,14027,964001009986825,2014-03-21 00:00:00,Female,,9004,
2256,15154,964001009987308,2015-03-25 00:00:00,Female,2018-08-03 21:07:43.864,9004,2015-03-28 04:10:35
2257,14075,964001009986862,2014-05-03 00:00:00,Female,2015-09-17 21:15:11.98,9005,
2258,OR0305,964001009986993,2014-05-03 00:00:00,Wether,,9005,
2260,14127,964001009987023,2014-03-28 00:00:00,Female,,9007,
2262,14058,964001009986850,2014-04-11 00:00:00,Female,2018-08-12 08:49:59.398,9009,
2263,OR0299,964001009986979,2014-04-11 00:00:00,Wether,,9009,
2264,OR0253,964001009986873,2014-04-16 00:00:00,Wether,,9010,
2265,OR0255,964001009986872,2014-04-16 00:00:00,Wether,,9010,
2266,OR0330,964001009987065,2014-04-16 00:00:00,Wether,,9010,
2267,14002,964001009986789,2014-03-25 00:00:00,Female,2015-09-17 21:03:28.879,9014,
2268,14041,964001009986820,2014-04-20 00:00:00,Female,,9015,
2270,OR0367,964001009987033,2014-05-15 00:00:00,Wether,,9016,
2273,14072,964001035779275,2014-04-17 00:00:00,Female,2021-08-28 15:28:57.263,9022,
2274,OR0316,964001009987072,2014-04-17 00:00:00,Wether,,9022,
2277,OR0298,964001009986980,2014-04-11 00:00:00,Wether,,9023,
2278,OR0261,964001009986907,2014-04-11 00:00:00,Wether,,9023,
2281,14032,964001009986831,2014-03-24 00:00:00,Female,,TLC821,
2282,14016,964001009986798,2014-03-24 00:00:00,Female,2018-08-12 08:49:52.599,TLC821,
2283,14085,964001009987044,2014-05-05 00:00:00,Female,2018-08-12 08:49:59.566,11008,
2284,OR0320,964001009987082,2014-05-05 00:00:00,Wether,,11008,
2285,OR0307,964001009986991,2014-04-26 00:00:00,Wether,,11010,
2286,14030,964001017737986,2014-04-12 00:00:00,Female,2015-09-17 20:54:51.416,11012,
2287,OR0290,964001009986958,2014-04-12 00:00:00,Wether,,11012,
2288,OR0302,964001009986976,2014-05-07 00:00:00,Wether,,11019,
2289,OR0487,964001009987347,2015-04-12 00:00:00,Wether,,11021,2015-04-15 09:29:19
2290,OR0363,964001009986987,2014-04-17 00:00:00,Wether,,11021,
2291,14098,964001009987053,2014-03-28 00:00:00,Female,2018-08-03 21:07:44.369,11023,
2292,14025,964001009986827,2014-03-28 00:00:00,Female,2018-08-12 08:49:52.698,11023,
2294,OR0359,964001009986998,2014-03-31 00:00:00,Wether,,11024,
2295,14036,964001009986824,2014-04-06 00:00:00,Female,2018-08-12 12:56:30.391,11025,
2296,OR0321,964001009987084,2014-04-06 00:00:00,Wether,,11025,
2297,14074,964001009986863,2014-03-28 00:00:00,Female,2018-08-12 08:49:52.954,11027,
2298,14103,964001009987043,2014-03-28 00:00:00,Female,,11027,
2300,OR0324,964001009987086,2014-04-22 00:00:00,Wether,,11029,
2301,14110,964001009987018,2014-03-23 00:00:00,Female,2015-09-17 20:57:36.297,11032,
2303,14062,964001009986853,2014-04-17 00:00:00,Female,2018-08-12 08:49:59.441,11034,
2304,14013,964001009986813,2014-04-17 00:00:00,Female,2018-08-12 08:49:58.996,11034,
2305,14028,964001009986635,2014-03-23 00:00:00,Female,,11041,2017-02-27 13:20:31.315
2306,OR0265,964001009986903,2014-03-29 00:00:00,Wether,,11041,
2307,OR0420,964001009987393,2015-04-17 00:00:00,Wether,,11041,2015-04-18 09:44:55
2308,14043,964001009986816,2014-05-03 00:00:00,Female,2015-09-17 20:58:41.275,11042,
2309,OR0280,964001009986968,2014-05-03 00:00:00,Wether,,11042,
2310,14068,964001009986870,2014-03-25 00:00:00,Female,2015-09-17 21:25:34.517,11044,
2311,11044ADEAD,964001009987126,2015-03-14 00:00:00,Wether,,11044,2016-01-17 17:25:13.792
2312,14092,964001009987061,2014-03-26 00:00:00,Female,,11046,
2313,14077,964001009986860,2014-03-26 00:00:00,Female,2015-09-17 21:36:49.987,11046,
2314,14083,964001009986986,2014-05-06 00:00:00,Female,2015-09-17 20:58:07.785,11047,
2315,OR0350,964001009987076,2014-05-06 00:00:00,Wether,,11047,
2316,OR0262,964001009986906,2014-03-24 00:00:00,Wether,,11050,
2318,15104,964001009987442,2015-03-16 00:00:00,Female,2018-08-05 16:47:35.415,12001,2015-03-19 04:21:00
2319,OR0494,964001009987167,2015-03-16 00:00:00,Wether,,12001,2015-03-19 04:23:43
2320,14093,964001009987066,2014-03-23 00:00:00,Female,2018-08-12 08:49:53.043,12002,
2321,OR0288,964001009986960,2014-03-23 00:00:00,Wether,,12002,
2322,14023,964001009986805,2014-03-28 00:00:00,Female,2018-08-03 21:07:44.735,12005,
2324,14131,964001009986721,2014-03-27 00:00:00,Female,,12006,
2325,14003,964001009986788,2014-03-27 00:00:00,Female,,12006,
2326,OR0248,964001009986792,2014-03-27 00:00:00,Wether,,12006,
2327,OR0502,964001009987354,2015-04-20 00:00:00,Wether,,12008,2015-04-10 12:28:35
2328,14012,964001009986812,2014-03-28 00:00:00,Female,2018-08-12 09:49:58,12008,2020-02-24 15:26:23
2329,OR0276,964001009986972,2014-03-28 00:00:00,Wether,,12010,
2330,OR0304,964001009986994,2014-03-24 00:00:00,Wether,,12011,
2331,14046,964001009986844,2014-03-24 00:00:00,Female,2018-08-12 08:49:52.783,12011,
2332,14034,964001009986833,2014-04-30 00:00:00,Female,2015-09-17 21:21:52.058,12012,
2333,OR0355,964001009986996,2014-04-30 00:00:00,Wether,,12012,
2334,14130,964001009987032,2014-03-26 00:00:00,Female,2018-08-11 21:02:10.245,12013,
2335,14070,964001009986868,2014-03-26 00:00:00,Female,2018-08-12 12:58:42.405,12013,
2336,14064,964001009986851,2014-03-26 00:00:00,Female,2018-08-12 12:59:06.567,12013,
2337,14057,964001009986633,2014-04-03 00:00:00,Female,2015-09-17 21:36:19.715,12016,
2338,OR0277,964001009986971,2014-04-15 00:00:00,Wether,,12017,
2339,OR0303,964001009986995,2014-04-15 00:00:00,Wether,,12017,
2340,14084,964001009987038,2014-05-02 00:00:00,Female,2018-08-12 08:49:59.525,12018,
2341,14063,964001009986852,2014-05-02 00:00:00,Female,2018-09-01 10:10:52.385,12018,
2342,OR0287,964001009986961,2014-05-02 00:00:00,Wether,,12018,
2344,14053,964001009986855,2014-04-01 00:00:00,Female,2018-08-12 08:49:52.825,12020,
2345,OR0269,964001009986899,2014-04-01 00:00:00,Wether,,12020,
2346,15170,964001009987310,2015-03-25 00:00:00,Female,2018-09-01 07:45:14.671,12021,2015-03-28 04:26:51
2347,OR0311,964001009987070,2014-05-02 00:00:00,Wether,,12021,
2348,14089,964001009987067,2014-04-15 00:00:00,Female,2015-09-17 20:52:56.865,12022,
2349,14141,964001009986988,2014-04-15 00:00:00,Female,2018-08-12 08:49:59.974,12022,
2351,OR0326,964001009987047,2014-03-24 00:00:00,Wether,,12024,
2352,OR0293,964001009986985,2014-04-17 00:00:00,Wether,,12025,
2353,OR0342,964001009987098,2014-04-17 00:00:00,Wether,,12025,
2354,OR0332,964001009987085,2014-03-24 00:00:00,Wether,,12026,
2355,14035,964001015704286,2014-03-24 00:00:00,Female,2015-09-17 21:19:06.503,12026,
2356,14125,964001009987009,2014-03-30 00:00:00,Female,2018-08-12 08:49:59,12028,2019-03-23 13:08:22
2357,14097,964001009987046,2014-03-30 00:00:00,Female,2015-09-17 21:28:05.372,12028,
2358,14007,964001009986807,2014-03-22 00:00:00,Female,2018-08-12 08:49:58.868,12029,
2359,OR0260,964001009986909,2014-03-22 00:00:00,Wether,,12029,
2360,OR0291,964001009986957,2014-03-22 00:00:00,Wether,,12029,
2361,14031,964001009986835,2014-03-21 00:00:00,Female,2018-08-12 08:49:52.741,12031,
2362,OR0369,964001009986977,2014-03-21 00:00:00,Wether,,12031,
2364,OR0278,964001009986970,2014-03-26 00:00:00,Wether,,12033,
2365,14018,964001009986799,2014-03-29 00:00:00,Female,2015-09-17 21:04:00.166,12036,
2366,OR0284,964001009986964,2014-03-29 00:00:00,Wether,,12036,
2367,OR0294,964001009986984,2014-05-04 00:00:00,Wether,,12037,
2368,OR0333,964001009987063,2014-05-04 00:00:00,Wether,,12037,
2370,OR0308,964001009986990,2014-03-28 00:00:00,Wether,,12038,
2371,14118,964001009987000,2014-04-04 00:00:00,Female,2018-08-12 12:57:46.413,12039,
2372,OR0268,964001009986900,2014-04-04 00:00:00,Wether,,12039,
2373,14015,964001009986797,2014-04-20 00:00:00,Female,2018-08-12 08:49:59.038,12040,
2374,OR0314,964001009987056,2014-04-20 00:00:00,Wether,,12040,
2375,OR0317,964001009987051,2014-04-20 00:00:00,Wether,,12040,
2376,14088,964001009987059,2014-03-27 00:00:00,Female,2015-09-17 20:55:56.732,12041,
2377,14020,964001009986802,2014-03-27 00:00:00,Female,2018-08-12 08:49:59.084,12041,
2380,14050,964001009986839,2014-03-28 00:00:00,Female,2015-09-17 21:04:33.997,12046,
2381,14037,964001009986834,2014-03-28 00:00:00,Female,2015-09-17 21:10:24.321,12046,
2382,14044,964001009986845,2014-03-26 00:00:00,Female,2015-09-17 21:14:44.993,12047,
2383,14011,964001009987436,2014-03-26 00:00:00,Female,2018-08-03 21:07:44.917,12047,
2384,OR0279,964001009986969,2014-03-26 00:00:00,Wether,,12048,
2385,OR0386,964001009987231,2015-03-19 00:00:00,Wether,,12048,2015-03-22 05:18:46
2388,14076,964001009986861,2014-03-28 00:00:00,Female,,12050,
2389,14112,964001009987012,2014-03-28 00:00:00,Female,2018-08-03 21:41:10.441,12050,
2390,OR0325,964001009987087,2014-03-21 00:00:00,Wether,,12054,
2391,OR0345,964001009987081,2014-03-21 00:00:00,Wether,,12054,
2393,14052,964001009986837,2014-04-08 00:00:00,Female,2018-08-03 21:07:44.551,12055,
2394,OR0351,964001009986997,2014-04-08 00:00:00,Wether,,12055,
2395,14080,964001009986890,2014-03-28 00:00:00,Female,2018-08-12 08:49:53.001,12056,
2396,OR0263,964001009986905,2014-03-28 00:00:00,Wether,,12056,
2397,14006,964001009986806,2014-04-10 00:00:00,Female,,12057,
2398,OR0257,964001009986912,2014-04-10 00:00:00,Wether,,12057,
2399,14104,964001009987080,2014-04-11 00:00:00,Female,,12058,
2400,15068,964001009987270,2015-03-13 00:00:00,Female,2018-08-12 08:50:01.401,12058,2015-03-24 05:38:59
2401,14008,964001009986808,2014-03-26 00:00:00,Female,2015-09-17 21:41:30.224,12060,
2403,14066,964001009986874,2014-03-28 00:00:00,Female,2018-08-12 08:49:52.866,12061,
2404,OR0352,964001009987006,2014-03-28 00:00:00,Wether,,12061,
2405,OR0296,964001009986982,2014-04-14 00:00:00,Wether,,12062,
2406,14059,964001009986854,2014-04-14 00:00:00,Female,2015-09-17 21:32:49.233,12062,
2407,14065,964001009986875,2014-03-31 00:00:00,Female,,12064,
2408,OR0364,964001009987035,2014-03-31 00:00:00,Wether,,12064,
2409,14024,964001009986826,2014-03-27 00:00:00,Female,2015-09-17 21:07:41.73,12065,
2410,14047,964001009986843,2014-03-27 00:00:00,Female,2018-08-12 12:57:24.392,12065,
2411,12066AD,964001009987258,2015-03-15 00:00:00,Female,,12066,2015-03-22 05:56:50
2412,OR0362,964001009987001,2014-04-25 00:00:00,Wether,,12066,
2414,14004,964001009986787,2014-03-28 00:00:00,Female,,12068,
2415,OR0329,964001009987075,2014-03-28 00:00:00,Wether,,12068,
2417,OR0295,964001009986983,2014-04-03 00:00:00,Wether,,12069,
2418,OR0475,964001009987217,2015-03-19 00:00:00,Wether,,12070,2015-03-22 04:31:24
2419,OR0300,964001009986978,2014-03-31 00:00:00,Wether,,12070,
2420,14124,964001009987013,2014-03-27 00:00:00,Female,2018-08-11 20:49:59.541,12071,
2421,OR0337,964001009987071,2014-03-27 00:00:00,Wether,,12071,
2422,14038,964001009986823,2014-03-22 00:00:00,Female,2015-09-17 21:43:24.628,12073,
2424,15063,964001009987446,2015-04-08 00:00:00,Female,,12074,2015-04-10 12:58:55
2425,OR0273,964001009986974,2014-03-25 00:00:00,Wether,,12074,
2426,14051,964001009986838,2014-03-29 00:00:00,Female,2015-09-17 21:35:46.067,12075,
2427,14090,964001009987089,2014-03-27 00:00:00,Female,2018-08-12 08:49:59.622,12076,
2429,15144,964001009987376,2015-04-19 00:00:00,Female,2018-08-07 08:54:11.327,12077,
2430,OR0409,964001009987386,2015-04-19 00:00:00,Wether,,12077,2015-04-23 08:54:39
2431,14095,964001009987069,2014-03-27 00:00:00,Female,2018-08-12 08:49:59.664,12078,
2435,14019,964001015704569,2014-03-29 00:00:00,Female,2018-08-03 21:07:44.828,12080,
